"Feature_ID","Symbol"
"LOC100131289","LOC100131289"
"RAB6C-AS1","RAB6C-AS1"
"RDM1P5","RDM1P5"
"LINC00605","LINC00605"
"C11orf91","C11orf91"
"SP9","SP9"
"LINC00893","LINC00893"
"CD300LD","CD300LD"
"DBIL5P","DBIL5P"
"LOC100131496","LOC100131496"
"LINC00887","LINC00887"
"FKSG29","FKSG29"
"CCDC18-AS1","CCDC18-AS1"
"LOC100131626","LOC100131626"
"LOC100131635","LOC100131635"
"ZNF236-DT","ZNF236-DT"
"MZF1-AS1","MZF1-AS1"
"FAM83A-AS1","FAM83A-AS1"
"USP30-AS1","USP30-AS1"
"ARMCX4","ARMCX4"
"PET100","PET100"
"LINC00271","LINC00271"
"UBE2DNL","UBE2DNL"
"CADM3-AS1","CADM3-AS1"
"ZNF717","ZNF717"
"INSYN2B","INSYN2B"
"KRTAP25-1","KRTAP25-1"
"ZNF705G","ZNF705G"
"RRN3P3","RRN3P3"
"LOC100132062","LOC100132062"
"LOC100132077","LOC100132077"
"LOC100132078","LOC100132078"
"HERC2P7","HERC2P7"
"FAM66E","FAM66E"
"C2CD4D-AS1","C2CD4D-AS1"
"FAM240A","FAM240A"
"PHKA2-AS1","PHKA2-AS1"
"LOC100132215","LOC100132215"
"NPIPB5","NPIPB5"
"NDUFA6-DT","NDUFA6-DT"
"TEKT4P2","TEKT4P2"
"CLUHP3","CLUHP3"
"FRG1HP","FRG1HP"
"LINC01512","LINC01512"
"LOC100132356","LOC100132356"
"KRTAP4-9","KRTAP4-9"
"ZNF705B","ZNF705B"
"GAGE12D","GAGE12D"
"FAM157B","FAM157B"
"NBPF10","NBPF10"
"FCGR1CP","FCGR1CP"
"CLDN24","CLDN24"
"FAM99B","FAM99B"
"KRTAP4-7","KRTAP4-7"
"FGD5P1","FGD5P1"
"PGAM1P5","PGAM1P5"
"ZRANB2-AS1","ZRANB2-AS1"
"BSN-DT","BSN-DT"
"PAXIP1-AS2","PAXIP1-AS2"
"CYP4F30P","CYP4F30P"
"DCAF13P3","DCAF13P3"
"FILNC1","FILNC1"
"KDM4A-AS1","KDM4A-AS1"
"LOC100132781","LOC100132781"
"TNIP2P1","TNIP2P1"
"PMS2P9","PMS2P9"
"MSC-AS1","MSC-AS1"
"DPH3P1","DPH3P1"
"SHISAL2B","SHISAL2B"
"FAM66D","FAM66D"
"FAM27C","FAM27C"
"SMIM9","SMIM9"
"GOLGA8DP","GOLGA8DP"
"LINC00856","LINC00856"
"CXorf49B","CXorf49B"
"FAM95B1","FAM95B1"
"LOC100133050","LOC100133050"
"LOC100133091","LOC100133091"
"FAM27B","FAM27B"
"LINC01203","LINC01203"
"LINC01001","LINC01001"
"FAM66A","FAM66A"
"LINC00240","LINC00240"
"SBF1P1","SBF1P1"
"LOC100133286","LOC100133286"
"RSU1P2","RSU1P2"
"HOXA-AS3","HOXA-AS3"
"LOC100133315","LOC100133315"
"LINC02171","LINC02171"
"MRPL23-AS1","MRPL23-AS1"
"LINC01134","LINC01134"
"LY6E-DT","LY6E-DT"
"LOC100133920","LOC100133920"
"CD24","CD24"
"UXT-AS1","UXT-AS1"
"LINC01816","LINC01816"
"MAP3K14-AS1","MAP3K14-AS1"
"UBOX5-AS1","UBOX5-AS1"
"KDM7A-DT","KDM7A-DT"
"LINC01119","LINC01119"
"LOC100134317","LOC100134317"
"LOC100134368","LOC100134368"
"NDUFB2-AS1","NDUFB2-AS1"
"LOC100134868","LOC100134868"
"UBE2Q2P2","UBE2Q2P2"
"JMJD7","JMJD7"
"PLA2G4B","PLA2G4B"
"HDAC5","HDAC5"
"C17orf99","C17orf99"
"LOC100144595","LOC100144595"
"LINC00029","LINC00029"
"LINC01056","LINC01056"
"EPHA5-AS1","EPHA5-AS1"
"CHKB-DT","CHKB-DT"
"LINC00930","LINC00930"
"KLLN","KLLN"
"PDCD6IP","PDCD6IP"
"KRTAP20-4","KRTAP20-4"
"RNU4ATAC","RNU4ATAC"
"RNU6ATAC","RNU6ATAC"
"SCARNA9L","SCARNA9L"
"PDCD6","PDCD6"
"TEX36-AS1","TEX36-AS1"
"PATE3","PATE3"
"SNAR-A3","SNAR-A3"
"DBIL5P2","DBIL5P2"
"BCL2L10","BCL2L10"
"SNAR-B2","SNAR-B2"
"SNAR-C4","SNAR-C4"
"SNAR-E","SNAR-E"
"SNAR-H","SNAR-H"
"SNAR-I","SNAR-I"
"SNAR-C3","SNAR-C3"
"SNAR-D","SNAR-D"
"SNAR-G2","SNAR-G2"
"SRRM5","SRRM5"
"ERICH4","ERICH4"
"EPOP","EPOP"
"BCL2L11","BCL2L11"
"MIR1224","MIR1224"
"HBD","HBD"
"MIR1225","MIR1225"
"HECTD2-AS1","HECTD2-AS1"
"LINC00426","LINC00426"
"LINC00092","LINC00092"
"DNMBP-AS1","DNMBP-AS1"
"DCTN1-AS1","DCTN1-AS1"
"SH2B3","SH2B3"
"RAMP2-AS1","RAMP2-AS1"
"TPT1-AS1","TPT1-AS1"
"LINC02418","LINC02418"
"C5orf52","C5orf52"
"LOC100190986","LOC100190986"
"C2CD4D","C2CD4D"
"PPIAP30","PPIAP30"
"ZFHX4-AS1","ZFHX4-AS1"
"PP12613","PP12613"
"FLJ16779","FLJ16779"
"LINC01634","LINC01634"
"LOC100192426","LOC100192426"
"CDH4","CDH4"
"GNE","GNE"
"HCN4","HCN4"
"MANCR","MANCR"
"FAR2P2","FAR2P2"
"KMT2E-AS1","KMT2E-AS1"
"LINC01004","LINC01004"
"INSL5","INSL5"
"FRAT1","FRAT1"
"PCED1B-AS1","PCED1B-AS1"
"TROAP","TROAP"
"LOC100240734","LOC100240734"
"LOC100240735","LOC100240735"
"MED16","MED16"
"PIGK","PIGK"
"LOC100268168","LOC100268168"
"LINC01432","LINC01432"
"LOC100270746","LOC100270746"
"LINC00653","LINC00653"
"LINC00940","LINC00940"
"ARHGEF33","ARHGEF33"
"LINC00899","LINC00899"
"LIMS3-LOC440895","LIMS3-LOC440895"
"SMG1P3","SMG1P3"
"ERVV-2","ERVV-2"
"MEF2B","MEF2B"
"AIRN","AIRN"
"RASA4B","RASA4B"
"CMC4","CMC4"
"LOC100272217","LOC100272217"
"LINC00894","LINC00894"
"BCDIN3D-AS1","BCDIN3D-AS1"
"LOC100286922","LOC100286922"
"VPS13A-AS1","VPS13A-AS1"
"ANAPC1P1","ANAPC1P1"
"LOC100287010","LOC100287010"
"LOC100287015","LOC100287015"
"DDX11L10","DDX11L10"
"LOC100287036","LOC100287036"
"LOC100287042","LOC100287042"
"LOC100287072","LOC100287072"
"DDX11L1","DDX11L1"
"LINC00421","LINC00421"
"USP17L10","USP17L10"
"WASHC1","WASHC1"
"EML2-AS1","EML2-AS1"
"USP17L11","USP17L11"
"SH3RF3-AS1","SH3RF3-AS1"
"LINC01630","LINC01630"
"ZNF729","ZNF729"
"TIPARP-AS1","TIPARP-AS1"
"USP17L13","USP17L13"
"MANSC4","MANSC4"
"LINC00941","LINC00941"
"PRSS46P","PRSS46P"
"USP17L20","USP17L20"
"SMKR1","SMKR1"
"ADPGK-AS1","ADPGK-AS1"
"LINC00173","LINC00173"
"DDX11L5","DDX11L5"
"LOXL1-AS1","LOXL1-AS1"
"SELENOKP3","SELENOKP3"
"MTHFD2P1","MTHFD2P1"
"ANKRD66","ANKRD66"
"AP4B1-AS1","AP4B1-AS1"
"LINC00630","LINC00630"
"LOC100287792","LOC100287792"
"LINC00582","LINC00582"
"LOC100287834","LOC100287834"
"LOC100287846","LOC100287846"
"LINC00994","LINC00994"
"TTC34","TTC34"
"LGALS8-AS1","LGALS8-AS1"
"TIMM23","TIMM23"
"LOC100287944","LOC100287944"
"LINC01699","LINC01699"
"LOC100288069","LOC100288069"
"WTAPP1","WTAPP1"
"GS1-279B7.1","GS1-279B7.1"
"LDLRAD4-AS1","LDLRAD4-AS1"
"LOC100288123","LOC100288123"
"NBPF20","NBPF20"
"LNCOC1","LNCOC1"
"HMGN3-AS1","HMGN3-AS1"
"KRTAP22-2","KRTAP22-2"
"KRTAP21-3","KRTAP21-3"
"NPIPA5","NPIPA5"
"NCAM1-AS1","NCAM1-AS1"
"ERVMER34-1","ERVMER34-1"
"LMCD1-AS1","LMCD1-AS1"
"IL10RB-DT","IL10RB-DT"
"MTRNR2L7","MTRNR2L7"
"DDX11L9","DDX11L9"
"USP17L15","USP17L15"
"FOXL3-OT1","FOXL3-OT1"
"REXO1L2P","REXO1L2P"
"WHAMMP1","WHAMMP1"
"LOC100288637","LOC100288637"
"PAN3-AS1","PAN3-AS1"
"LOC100288748","LOC100288748"
"WASH8P","WASH8P"
"TMEM239","TMEM239"
"HYDIN2","HYDIN2"
"CLDN34","CLDN34"
"SRGAP3-AS3","SRGAP3-AS3"
"B3GNT10","B3GNT10"
"LOC100288846","LOC100288846"
"CRIM1-DT","CRIM1-DT"
"BMS1P21","BMS1P21"
"MOXD2P","MOXD2P"
"SLC25A25-AS1","SLC25A25-AS1"
"ATP2A1-AS1","ATP2A1-AS1"
"FAM95C","FAM95C"
"FAM197Y5","FAM197Y5"
"GNG12-AS1","GNG12-AS1"
"TMEM225B","TMEM225B"
"LINC00624","LINC00624"
"LOC100289230","LOC100289230"
"TMEM238L","TMEM238L"
"MAN1B1-DT","MAN1B1-DT"
"LOC100289361","LOC100289361"
"UBAC2-AS1","UBAC2-AS1"
"KCTD21-AS1","KCTD21-AS1"
"MCF2L-AS1","MCF2L-AS1"
"DEFB4B","DEFB4B"
"LOC100289473","LOC100289473"
"LOC100289495","LOC100289495"
"KCNIP2-AS1","KCNIP2-AS1"
"LOC100289511","LOC100289511"
"LOC100289561","LOC100289561"
"HERC2P4","HERC2P4"
"ZNF605","ZNF605"
"PSG8-AS1","PSG8-AS1"
"LOC100289656","LOC100289656"
"LINC01848","LINC01848"
"ZNF783","ZNF783"
"LINC00942","LINC00942"
"ZNF587B","ZNF587B"
"C4B_2","C4B_2"
"LOC100294145","LOC100294145"
"RNF213-AS1","RNF213-AS1"
"NHEG1","NHEG1"
"CDH5","CDH5"
"MIR1284","MIR1284"
"MIR1200","MIR1200"
"MIR1468","MIR1468"
"MIR1265","MIR1265"
"MIR320B1","MIR320B1"
"MIR1286","MIR1286"
"MIR1538","MIR1538"
"MIR1276","MIR1276"
"MIR1275","MIR1275"
"MIR1288","MIR1288"
"MIR1471","MIR1471"
"MIR1470","MIR1470"
"MIR1915","MIR1915"
"MIR302F","MIR302F"
"MIR1287","MIR1287"
"MIR1289-2","MIR1289-2"
"MIR320C1","MIR320C1"
"MIR1252","MIR1252"
"MIR1914","MIR1914"
"MIR1292","MIR1292"
"MIR1537","MIR1537"
"MIR1913","MIR1913"
"MIR1246","MIR1246"
"MIR1912","MIR1912"
"MIR1247","MIR1247"
"MIR1249","MIR1249"
"MIR1296","MIR1296"
"MIR548N","MIR548N"
"MIR1298","MIR1298"
"MIR1256","MIR1256"
"MIR1185-1","MIR1185-1"
"MIR1231","MIR1231"
"MIR1205","MIR1205"
"MIR1278","MIR1278"
"MIR2113","MIR2113"
"MIR1322","MIR1322"
"MIR1257","MIR1257"
"MIR320D2","MIR320D2"
"MIR1206","MIR1206"
"MIR1258","MIR1258"
"MIR1307","MIR1307"
"MIR1207","MIR1207"
"MIR1295A","MIR1295A"
"MIR1270","MIR1270"
"MIR1272","MIR1272"
"MIR1204","MIR1204"
"MIR548I3","MIR548I3"
"MIR1297","MIR1297"
"MIR1243","MIR1243"
"MIR1976","MIR1976"
"MIR548I4","MIR548I4"
"MIR548F1","MIR548F1"
"MIR320C2","MIR320C2"
"MIR1266","MIR1266"
"MIR548I1","MIR548I1"
"MIR1283-2","MIR1283-2"
