Feature_ID,row m/z,row retention time,row identity (all IDs),Identity Mapped,FormulaMapped,KEGG,HMDB,PubChem,row number of detected peaks,Number of non-zero peaks,Percent pre-gap peaks,Percent non-zero peaks,Heavy-labeled flag,Identified flag,Non-heavy identified flag
neg_00236,281.2478646,1.133086792,PETROSELINIC ACID;ELAIDIC ACID;OLEATE,Petroselinic acid|Elaidic acid|Oleate,C18H34O2|C18H34O2|C18H34O2,|C01712|C00712,HMDB0002080|HMDB0000573|HMDB0000207,11634|637517|445639,86,88,97.72727273,100,0,1,1
neg_00237,423.061088,2.368225769,,,,,,,58,63,65.90909091,71.59090909,0,0,0
neg_00238,343.0251052,1.327012914,,,,,,,42,70,47.72727273,79.54545455,0,0,0
neg_00239,224.0614927,2.361475288,,,,,,,82,88,93.18181818,100,0,0,0
neg_00240,121.0405643,2.378563021,NICOTINAMIDE,Nicotinamide,C6H6N2O,C00153,HMDB0001406,936,87,88,98.86363636,100,0,1,1
neg_00241,90.02759525,2.670887635,,,,,,,27,88,30.68181818,100,0,0,0
neg_00242,88.04029191,4.964013811,SARCOSINE;L-ALANINE;D-ALANINE;Beta-ALANINE,Sarcosine|L-Alanine|D-Alanine|Beta-Alanine,C3H7NO2|C3H7NO2|C3H7NO2|C3H7NO2,C00213|C00041|C00133|C00099,HMDB0000271|HMDB0000161|HMDB0001310|HMDB0000056,1088|5950|71080|239,86,88,97.72727273,100,0,1,1
neg_00243,135.0298347,4.416113217,,,,,,,37,88,42.04545455,100,0,0,0
neg_00244,423.0610392,1.313268817,,,,,,,58,65,65.90909091,73.86363636,0,0,0
neg_00245,267.0728707,3.34449841,INOSINE,Inosine,C10H12N4O5,C00294,HMDB0000195,6021,87,88,98.86363636,100,0,1,1
neg_00246,135.0309488,3.034682462,HYPOXANTHINE,Hypoxanthine,C5H4N4O,C00262,HMDB0000157,790,87,88,98.86363636,100,0,1,1
neg_00247,137.0404002,5.157260109,,,,,,,87,88,98.86363636,100,0,0,0
neg_00248,318.0544483,2.377543693,,,,,,,58,76,65.90909091,86.36363636,0,0,0
neg_00249,173.0088174,4.074378636,,,,,,,77,88,87.5,100,0,0,0
neg_00251,249.0215088,4.899908635,,,,,,,85,87,96.59090909,98.86363636,0,0,0
neg_00252,606.0735705,5.465873136,URIDINE 5'-DIPHOSPHO-N-ACETYLGALACTOSAMINE;URIDINE 5'-DIPHOSPHO-N-ACETYLGLUCOSAMINE,Uridine 5'-diphospho-n-acetylgalactosamine|Uridine 5'-diphospho-n-acetylglucosamine,C17H27N3O17P2|C17H27N3O17P2,|C00043,HMDB0000304|HMDB0000290,1167|445675,87,87,98.86363636,98.86363636,0,1,1
neg_00253,208.9854859,4.078457795,,,,,,,85,87,96.59090909,98.86363636,0,0,0
neg_00254,113.0355124,2.380596409,"5,6-DIHYDROURACIL","5,6-Dihydrouracil",C4H6N2O2,C00429,HMDB0000076,649,87,88,98.86363636,100,0,1,1
neg_00255,129.0555554,1.321432268,3-METHYL-2-OXOVALERIC ACID;4-METHYL-2-OXOVALERIC ACID,3-Methyl-2-Oxovaleric acid|4-Methyl-2-Oxovaleric acid,C6H10O3|C6H10O3,C00671|C00233,HMDB0000491|HMDB0000695,439286|70,87,88,98.86363636,100,0,1,1
neg_00256,306.075951,4.828579849,GLUTATHIONE,Glutathione,C10H17N3O6S,C00051,HMDB0000125,124886,4,88,4.545454545,100,0,1,1
neg_00257,207.0405864,2.369735666,,,,,,,51,78,57.95454545,88.63636364,0,0,0
neg_00258,353.159792,1.255162664,,,,,,,78,86,88.63636364,97.72727273,0,0,0
neg_00259,163.060921,3.769413471,2-DEOXY-D-GLUCOSE;6-DEOXY-L-GALACTOSE;L-RHAMNOSE,2-Deoxy-D-Glucose|6-Deoxy-L-galactose (FUCOSE)|L-Rhamnose,C6H12O5|C6H12O5|C6H12O5,|C01019|C00507,HMDB0062477|HMDB0000174|HMDB0000849,108223|439554|25310,87,88,98.86363636,100,0,1,1
neg_00260,335.0489361,3.935432359,,,,,,,87,88,98.86363636,100,0,0,0
neg_00261,565.0461774,6.081395536,URIDINE 5'-DIPHOSPHOGLUCOSE;URIDINE 5'-DIPHOSPHOGALACTOSE,Uridine 5'-diphosphoglucose (UDP Glucose)|Uridine 5'-diphosphogalactose,C15H24N2O17P2|C15H24N2O17P2,C00029|C00052,HMDB0000286|HMDB0000302,8629|18068,86,87,97.72727273,98.86363636,0,1,1
neg_00262,111.0198424,2.955733689,URACIL,Uracil,C4H4N2O2,C00106,HMDB0000300,1174,31,88,35.22727273,100,0,1,1
neg_00263,318.0547389,1.31433583,,,,,,,58,62,65.90909091,70.45454545,0,0,0
neg_00264,371.0820779,4.553487082,,,,,,,83,87,94.31818182,98.86363636,0,0,0
neg_00265,99.00865063,4.07701783,,,,,,,77,88,87.5,100,0,0,0
neg_00266,106.0409338,2.328564548,,,,,,,87,88,98.86363636,100,0,0,0
