Feature_ID,row m/z,row retention time,row identity (all IDs),Metabolite,Mapping Type,FormulaMapped,KEGG,HMDB,PubChem,row number of detected peaks,Number of non-zero peaks,Percent pre-gap peaks,Percent non-zero peaks,Heavy-labeled flag,Identified flag,Non-heavy identified flag
neg_00145,241.216957,1.056875,,,,,,,,20,20,100,100,0,0,0
neg_00146,719.486212,0.977073,,,,,,,,20,20,100,100,0,0,0
neg_00147,286.911467,4.303969,,,,,,,,19,20,95,100,0,0,0
neg_00148,130.061919,4.834165,Creatine,Creatine,1A,C4H9N3O2,C00300,HMDB0000064,586,20,20,100,100,0,1,1
neg_00149,298.113772,4.730981,,,,,,,,19,20,95,100,0,0,0
neg_00150,72.969599,14.575223,,,,,,,,20,20,100,100,0,0,0
neg_00151,152.986063,5.890044,,,,,,,,20,20,100,100,0,0,0
neg_00152,165.019027,4.629393,,,,,,,,20,20,100,100,0,0,0
neg_00153,483.272078,1.045249,,,,,,,,20,20,100,100,0,0,0
neg_00154,154.061938,4.789073,,,,,,,,20,20,100,100,0,0,0
neg_00155,254.014987,3.452371,,,,,,,,20,20,100,100,0,0,0
neg_00156,91.039906,2.983884,,,,,,,,20,20,100,100,0,0,0
neg_00157,306.057462,2.859447,,,,,,,,20,20,100,100,0,0,0
neg_00158,330.918442,4.317644,,,,,,,,20,20,100,100,0,0,0
neg_00159,117.055569,2.058579,,,,,,,,20,20,100,100,0,0,0
neg_00161,198.953945,4.312568,,,,,,,,18,20,90,100,0,0,0
neg_00162,339.199313,0.990935,,,,,,,,20,20,100,100,0,0,0
neg_00163,793.500797,0.975377,,,,,,,,20,20,100,100,0,0,0
neg_00164,295.227277,1.063266,,,,,,,,20,20,100,100,0,0,0
neg_00165,165.040543,1.085644,,,,,,,,20,20,100,100,0,0,0
neg_00166,171.066021,3.335603,,,,,,,,20,20,100,100,0,0,0
neg_00167,121.999397,1.058427,,,,,,,,20,20,100,100,0,0,0
neg_00168,165.837036,4.338893,,,,,,,,20,20,100,100,0,0,0
